"Sarek Strelka","Sarek Mutect","TCGA MuTect2","TCGA Pindel","TCGA VarScan","TCGA MuSE"
"ADGRV1 [3]","LRP6 [3]","LRP6 [3]"," []","APBB3 [4]","PCF11 [4]"
"LRP6 [3]","MPDZ [3]","ATAD2B [2]"," []","PCF11 [4]","ADGRV1 [3]"
"MPDZ [3]","MYOM1 [3]","ATP13A3 [2]"," []","LRP6 [3]","LRP6 [3]"
"MYOM1 [3]","NUP98 [3]","DICER1 [2]"," []","PCED1A [3]","MYOM1 [3]"
"NUP98 [3]","AP3S2 [2]","EDEM2 [2]"," []","AOX1 [2]","AOX1 [2]"
"ODF2 [3]","APBB3 [2]","EIF3H [2]"," []","ATAD2B [2]","AP3S2 [2]"
"PCED1A [3]","ATAD2B [2]","EIF4G1 [2]"," []","ATP13A3 [2]","ATAD2B [2]"
"AP3S2 [2]","ATP13A3 [2]","EP300 [2]"," []","ATXN7L3B [2]","ATP13A3 [2]"
"ATAD2B [2]","ATXN7L3B [2]","FMN1 [2]"," []","CYP3A5 [2]","ATXN7L3B [2]"
"ATP13A3 [2]","CARMIL2 [2]","GIMAP8 [2]"," []","DICER1 [2]","DICER1 [2]"
